dataset,task,fold,mse,r2,accuracy,f1,roc_auc
adult,classification,35,,,0.8496621621621622,0.6517253646389185,0.9062105272934415
adult,classification,36,,,0.8515277138031629,0.665282104534441,0.9044100812464808
adult,classification,37,,,0.8535012285012284,0.6563400576368876,0.9057611060200779
adult,classification,38,,,0.8525798525798526,0.6586059743954481,0.910057439237831
adult,classification,39,,,0.8425982800982801,0.6379371246909219,0.9000632337279573
adult,classification,40,,,0.8521191646191646,0.664576802507837,0.907009204622383
adult,classification,41,,,0.8455396898510671,0.6528640441683919,0.9044245195649527
adult,classification,42,,,0.8488943488943489,0.650319829424307,0.905008673675781
adult,classification,43,,,0.8562653562653563,0.6635514018691588,0.9062543858562843
adult,classification,44,,,0.8518120393120393,0.6591310490992582,0.9068033918664553
adult,classification,45,,,0.8531941031941032,0.6671309192200557,0.905243574978535
adult,classification,46,,,0.8562874251497006,0.6765722183828611,0.9078021836925382
adult,classification,47,,,0.8496621621621622,0.6558875219683655,0.904750682129648
adult,classification,48,,,0.8524262899262899,0.6643381068808941,0.9046736716531273
adult,classification,49,,,0.8450552825552825,0.6425788168614949,0.9008846788108447
adult,classification,50,,,0.8518120393120393,0.6542457900394124,0.9103268469098804
bank_marketing,classification,1,,,0.9087157076960427,0.5091383812010444,0.9320358566441813
bank_marketing,classification,2,,,0.9102937606215101,0.5134957208689928,0.9307517453653474
bank_marketing,classification,3,,,0.911750424860403,0.5270006506180872,0.9393058045190811
bank_marketing,classification,4,,,0.9131965521427704,0.5198119543317663,0.936407080783729
bank_marketing,classification,5,,,0.9110112905183926,0.5142478462557986,0.9370355867352956
bank_marketing,classification,6,,,0.9098082058752124,0.5043362241494329,0.9381602610972216
bank_marketing,classification,7,,,0.9115076474872542,0.5181758096497026,0.9369385053540261
bank_marketing,classification,8,,,0.9095654285020636,0.5108338804990151,0.9316854568611727
bank_marketing,classification,9,,,0.9100400631297803,0.5203883495145631,0.934169198578984
bank_marketing,classification,10,,,0.9108898870948161,0.5151915455746368,0.9339909523450071
bank_marketing,classification,11,,,0.9115076474872542,0.5175380542686963,0.9338544860606632
